"ID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_PM_ID","asset_Description","asset_Quantity","asset_Type","asset_Make","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Routine_Maintenance","asset_Comments","asset_Specialist_training_or_other_requirements"
1,LI-COR LI-710,ET1-00298,,FDRI,2024-05-09 00:00:00.000,,,,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,,,,,,,,,,,,,,,,,,
2,DJI Matrice 350 RTK_Drone,"1581F6GKB239L00400KX",,"09191",2024-08-14 00:00:00.000,FDRI-M-DRO-0824-001,"18918",,,9110.76,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Matrice 350 RTK,,,,,,,,,,,,,,,,
3,DJI Matrice 350 RTK RC_RM700B,"4LFCL9F006L33M",,"09191",2024-08-14 00:00:00.000,FDRI-M-DRO-0824-002,"18918",,,968.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Matrice 350 RTK,,,,,,,,,,,,,,,,
4,Intelligent Flight Battery TB65,"6JYPLBLDA00245",,"09191",2024-08-14 00:00:00.000,FDRI-M-DRO-0824-003,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
5,Intelligent Flight Battery TB65,"6JYPLBEDA002EG",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-004,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
6,Intelligent Flight Battery TB65,"6JYPLBEDA002EF",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-005,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
7,Intelligent Flight Battery TB65,"6JYPLBEDA002BZ",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-006,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
8,Intelligent Flight Battery TB65,"6JYPLBEDA002DH",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-007,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
9,Intelligent Flight Battery TB65,"6JYPLBEDA002CA",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-008,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
10,Intelligent Flight Battery TB65,"6JYPLBEDA002DK",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-009,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
11,Intelligent Flight Battery TB65,"6JYPLBEDA002EN",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-010,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
12,Intelligent Flight Battery TB65,"6JYPLBsdvDA002FN",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-011,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
13,Intelligent Flight Battery TB65,"6JYPLBLDA00222",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-012,"18918",,,562.4,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Intelligent Flight Battery TB65,,,,,,,,,,,,,,,,
14,DJI WB37 Intelligent Battery,"0DNAM5J83401LU",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-013,"18918",,,69.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,WB37 Intelligent Battery,,,,,,,,,,,,,,,,
15,DJI WB37 Intelligent Battery,"0DNAM5J83401EQ",,"09191",2024-08-14 00:00:00.000,FDRI-M-DRO-0824-014,"18918",,,69.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,WB37 Intelligent Battery,,,,,,,,,,,,,,,,
16,DJI Zenmuse L2,"6U3DM140047S34",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-015,"18918",,,10660.54,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Zenmuse L2,,,,,,,,,,,,,,,,
17,Emlid Reach RS3 RTK Receiver,"824313C34D62D5632412",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-016,"18918",,,5330.27,,,,,false,Drone,,,Wallingford,,,1,Fixed,Emlid,Reach RS3 RTK Receiver,,,,,,,,,,,,,,,,
18,Emlid Survey Pole with device holderSPL102,"5999574730176",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-017,"18918",,,299.0,,,,,false,Drone,,,Wallingford,,,2,Fixed,Emlid,Survey Pole with device holderSPL102,,,,,,,,,,,,,,,,
19,D-RTK 2 Mobile Station,"359BM4100100EB",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-018,"18918",,,2565.0,,,,,false,Drone,,,Wallingford,,,1,Asset Asset,DJI Enterprise,D-RTK 2 Mobile Station,,,,,,,,,,,,,,,,
20,"256GB SanDisk Extreme PRO micro SDXC CARD",NA,,FDRI,2024-08-14 00:00:00.000,,"18918",,,320.0,,,,,false,Drone,,,Wallingford,,,8,Consumable,SanDisk,"256GB Extreme PRO micro SDXC CARD",,,,,,,,,,,,,,,,
21,DJI D-RTK 2 Tripod,"296BM1LR0100GS",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-019,"18918",,,249.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,D-RTK 2 Tripod,,,,,,,,,,,,,,,,
22,DJI Mavic 3 Multispectral_Drone,"1581F5FKC242V00DB5P1",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-020,"18918",,,1718.06,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Multispectral_Drone,,,,,,,,,,,,,,,,
23,DJI Mavic 3 Multispectral RC,"5YSZM6M0032159",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-021,"18918",,,1299.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Multispectral_Drone,,,,,,,,,,,,,,,,
24,DJI Mavic 3 Multispectral (RTK Module)(M3RTK),"5HLBM6E00100KT",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-022,"18918",,,570.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Multispectral (RTK Module)(M3RTK),,,,,,,,,,,,,,,,
25,DJI Mavic 3 Enterprise Battery Kit,"69DNM1C001012X",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-023,"18918",,,529.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Enterprise Battery Kit,,,,,,,,,,,,,,,,
26,DJI Mini 4 Pro_Drone,"1581F6Z9C23B8003F2D1",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-024,"18918",,,659.96,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro_Drone,,,,,,,,,,,,,,,,
